companyName,contractType,experienceLevel,location,salary,sector,job_title,extracted_skills,day,month,year
Gan Prévoyance,Full-time,Entry level,Nanterre,41500.0,Insurance,Data Analyst,"['SAS', 'SQL', 'Excel', 'Powerpoint']",9,10,2024
La Poste Groupe,Full-time,Entry level,Issy-les-Moulineaux,41500.0,"Transportation, Logistics, Supply Chain and Storage",Data Analyst,,23,9,2024
Leihia,Full-time,Mid-Senior level,Villiers-le-Bel,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO']",28,9,2024
TieTalent,Full-time,Entry level,Villeurbanne,41500.0,"Technology, Information and Internet",Data Analyst,"['Dataviz', 'PowerBi']",9,10,2024
TieTalent,Full-time,Entry level,Écully,41500.0,"Technology, Information and Internet",Data Analyst,"['QlikView', 'QlikSense', 'Tableau', 'Power BI', 'Business Object', 'SAP BW', 'Talend', 'Geokkettle', 'Apatar', 'Java', 'Scala', 'Python']",9,10,2024
LesJeudis,Full-time,Entry level,Marseille,41500.0,IT Services and IT Consulting,Data Analyst,"['Excel', 'Power BI', 'Python', 'SQL']",7,10,2024
FinDiT Consulting,Full-time,Associate,Paris,41500.0,Business Consulting and Services and Investment Management,Data Analyst,"['SAS', 'Tableau', 'Macro', 'VBA', 'SQL']",20,9,2024
Leihia,Full-time,Mid-Senior level,Villeron,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",27,9,2024
Leihia,Full-time,Mid-Senior level,Conflans-Ste.-Honorine,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO', 'Excel']",28,9,2024
TieTalent,Full-time,Entry level,Antony,41500.0,"Technology, Information and Internet",Data Analyst,"['SQL', 'SQL Server', 'Power BI']",9,10,2024
Mayoly,Full-time,Entry level,Rueil-Malmaison,41500.0,Pharmaceutical Manufacturing,Data Analyst,,3,9,2024
Visiativ,Full-time,Entry level,Lyon,41500.0,IT Services and IT Consulting,Data Analyst,['PowerBI'],3,10,2024
Lucky Cart,Full-time,Entry level,Paris,41500.0,IT Services and IT Consulting,Data Analyst,"['BigQuery', 'Redshift', 'Presto', 'SQL', 'Python', 'R', 'Scala', 'AWS', 'Google Cloud']",23,9,2024
Free2move,Internship,Not Applicable,Paris,41500.0,"Technology, Information and Internet",Data Analyst,,25,8,2024
TieTalent,Full-time,Entry level,Lyon,41500.0,"Technology, Information and Internet",Data Analyst,"['QlikView', 'QlikSense', 'Tableau', 'Power BI', 'Business Object', 'SAP BW', 'Talend', 'Geokkettle', 'Apatar', 'Java', 'Scala', 'Python']",9,10,2024
TieTalent,Full-time,Entry level,Marcq-en-Barœul,41500.0,"Technology, Information and Internet",Data Analyst,"['SQL Server', 'Microsoft Power BI', 'Tableau']",9,10,2024
papernest,Other,Not Applicable,Paris,41500.0,Real Estate,Data Analyst,,31,8,2024
TieTalent,Full-time,Entry level,Nancy,41500.0,"Technology, Information and Internet",Data Analyst,"['Python', 'R', 'SQL', 'Tableau', 'Power BI', 'Qlik']",5,10,2024
Institut F2I,Internship,Entry level,Paris,41500.0,"IT System Training and Support, Professional Training and Coaching, and Education",Data Analyst,"['SQL', 'Tableau', 'Power BI', 'Python', 'R']",16,9,2024
TieTalent,Full-time,Entry level,Nanterre,41500.0,"Technology, Information and Internet",Data Analyst,['QLIK'],9,10,2024
Leihia,Full-time,Mid-Senior level,Paris,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO']",7,10,2024
METEOJOB by CleverConnect,Internship,Entry level,Paris,41500.0,"Technology, Information and Internet",Data Analyst,"['Excel', 'Google Sheets']",18,9,2024
Leihia,Full-time,Mid-Senior level,Férolles-Attilly,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO']",5,10,2024
TieTalent,Full-time,Entry level,Châtillon,41500.0,"Technology, Information and Internet",Data Analyst,,10,10,2024
TieTalent,Full-time,Entry level,Courbevoie,41500.0,"Technology, Information and Internet",Data Analyst,,8,10,2024
TieTalent,Full-time,Entry level,Nanterre,41500.0,"Technology, Information and Internet",Data Analyst,,9,10,2024
bsport,Internship,Internship,Paris,41500.0,Wellness and Fitness Services,Data Analyst,"['Python', 'SQL']",27,9,2024
TieTalent,Full-time,Entry level,Moirans,41500.0,"Technology, Information and Internet",Data Analyst,,6,10,2024
Actinvision,Full-time,Associate,Paris,41500.0,IT Services and IT Consulting,Data Analyst,"['Tableau', 'Alteryx', 'Snowflake', 'Microsoft', 'Talend']",10,10,2024
Leihia,Full-time,Mid-Senior level,Saint-Leu-la-Forêt,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO']",10,10,2024
OTTEO,Full-time,Associate,Lille,39500.0,Business Consulting and Services,Data Analyst,,27,8,2024
Lincoln France,Full-time,Associate,Île-de-France,41500.0,"Data Infrastructure and Analytics, IT Services and IT Consulting, and IT System Data Services",Data Analyst,"['Dataiku', 'SQL', 'Python']",6,10,2024
EOS France,Full-time,Entry level,Paris,41500.0,Financial Services,Data Analyst,,20,9,2024
Liebherr Group,Full-time,Mid-Senior level,Colmar,41500.0,Industrial Machinery Manufacturing,Data Analyst,"['Microsoft SQL Server', 'SSIS', 'SSRS', 'PowerBI', 'SSAS', 'Confluence', 'Jira']",8,10,2024
TieTalent,Full-time,Mid-Senior level,Vénissieux,41500.0,"Technology, Information and Internet",Data Analyst,['Azure'],9,10,2024
Cerballiance,Full-time,Associate,Frépillon,41500.0,Medical Practices,Data Analyst,,13,9,2024
TieTalent,Full-time,Entry level,Montrouge,41500.0,"Technology, Information and Internet",Data Analyst,,5,10,2024
Free-Work,Full-time,Mid-Senior level,Croix,41500.0,Human Resources Services,Data Analyst,"['SQL', 'Python', 'Tableau']",26,9,2024
Leihia,Full-time,Mid-Senior level,Domont,45000.0,Banking,Data Analyst,"['VBA', 'SUADEO']",6,10,2024
Newrest,Full-time,Mid-Senior level,Wissous,41500.0,Food and Beverage Services,Data Analyst,['Power BI'],25,9,2024
SSTRN - Prévention et santé au travail 🫀🚀,Full-time,Associate,Nantes,41500.0,Health and Human Services,Data Analyst,"['MSSQL', 'Talend', 'QlikSense']",30,9,2024
Thales,Full-time,Not Applicable,Meudon,41500.0,Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing,Data Analyst,,9,10,2024
LesJeudis,Temporary,Entry level,Paris,41500.0,IT Services and IT Consulting,Data Analyst,,12,9,2024
